CODEVALUE,ID,STATUS,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,SHORTNAME,HIERARCHYLEVEL,STARTDATE,ENDDATE
265,90e73873-2739-4a9b-b7cd-3d7b1465a285,VALID,Kivijärvi,Kivijärvi,Kivijärvi,,,2018-01-01,2018-12-31
271,7617bf94-6a3f-4624-b40e-8d93830a42be,VALID,Kokemäki,Kumo,Kokemäki,,,2018-01-01,2018-12-31
272,b355d60f-1e8a-4cec-a6b8-5c69ad21896f,VALID,Kokkola,Karleby,Kokkola,,,2018-01-01,2018-12-31
273,13f8b1c1-93d4-40e8-abfd-c26e2e1d850d,VALID,Kolari,Kolari,Kolari,,,2018-01-01,2018-12-31
275,a4e44de7-9be2-4931-8d01-ba5805d923d1,VALID,Konnevesi,Konnevesi,Konnevesi,,,2018-01-01,2018-12-31
276,ad337455-385a-4b85-be17-8a448e4e303c,VALID,Kontiolahti,Kontiolahti,Kontiolahti,,,2018-01-01,2018-12-31
280,34fa1ea4-9b7c-448b-ac46-58e2e3612ede,VALID,Korsnäs,Korsnäs,Korsnäs,,,2018-01-01,2018-12-31
284,8bc08a06-9f76-4ac0-ad88-84b6237e057b,VALID,Koski Tl,Koski Tl,Koski Tl,,,2018-01-01,2018-12-31
285,3ce9abf1-8d2e-42d6-8d96-653f19b065b1,VALID,Kotka,Kotka,Kotka,,,2018-01-01,2018-12-31
286,9124b605-8b35-4717-b0b4-3c0fca9fa9ae,VALID,Kouvola,Kouvola,Kouvola,,,2018-01-01,2018-12-31
287,14f8685d-ab84-4c72-af2b-baca6b4f0416,VALID,Kristiinankaupunki,Kristinestad,Kristinestad,,,2018-01-01,2018-12-31
288,0a60f447-e937-4a0b-9a8e-90c8e87e6b8e,VALID,Kruunupyy,Kronoby,Kronoby,,,2018-01-01,2018-12-31
290,2244465d-ef43-4dfc-948d-ce4c953b1f22,VALID,Kuhmo,Kuhmo,Kuhmo,,,2018-01-01,2018-12-31
291,f523f722-5bd6-48d5-bd1c-f5ea47eb096d,VALID,Kuhmoinen,Kuhmoinen,Kuhmoinen,,,2018-01-01,2018-12-31
295,fcb0a199-9d5b-4c4c-8993-34b85d865767,VALID,Kumlinge,Kumlinge,Kumlinge,,,2018-01-01,2018-12-31
297,184a77ee-820e-4ae8-bb80-97ac536bea22,VALID,Kuopio,Kuopio,Kuopio,,,2018-01-01,2018-12-31
300,e73c7f2f-2264-4256-b39e-7f99b6cbe237,VALID,Kuortane,Kuortane,Kuortane,,,2018-01-01,2018-12-31
