CODEVALUE,ID,STATUS,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,DEFINITION_FI,DEFINITION_SV,DEFINITION_EN,DESCRIPTION_FI,DESCRIPTION_SV,DESCRIPTION_EN,SHORTNAME,STARTDATE,ENDDATE
761,,DRAFT,Somero,Somero,Somero,,,,,,,,,
762,,DRAFT,Sonkajärvi,Sonkajärvi,Sonkajärvi,,,,,,,,,
765,,DRAFT,Sotkamo,Sotkamo,Sotkamo,,,,,,,,,
766,,DRAFT,Sottunga,Sottunga,Sottunga,,,,,,,,,
768,,DRAFT,Sulkava,Sulkava,Sulkava,,,,,,,,,
771,,DRAFT,Sund,Sund,Sund,,,,,,,,,
777,,DRAFT,Suomussalmi,Suomussalmi,Suomussalmi,,,,,,,,,
778,,DRAFT,Suonenjoki,Suonenjoki,Suonenjoki,,,,,,,,,
781,,DRAFT,Sysmä,Sysmä,Sysmä,,,,,,,,,
783,,DRAFT,Säkylä,Säkylä,Säkylä,,,,,,,,,
785,,DRAFT,Vaala,Vaala,Vaala,,,,,,,,,
790,,DRAFT,Sastamala,Sastamala,Sastamala,,,,,,,,,
791,,DRAFT,Siikalatva,Siikalatva,Siikalatva,,,,,,,,,
831,,DRAFT,Taipalsaari,Taipalsaari,Taipalsaari,,,,,,,,,
832,,DRAFT,Taivalkoski,Taivalkoski,Taivalkoski,,,,,,,,,
833,,DRAFT,Taivassalo,Tövsala,Taivassalo,,,,,,,,,
834,,DRAFT,Tammela,Tammela,Tammela,,,,,,,,,
837,,DRAFT,Tampere,Tammerfors,Tampere,,,,,,,,,
844,,DRAFT,Tervo,Tervo,Tervo,,,,,,,,,
845,,DRAFT,Tervola,Tervola,Tervola,,,,,,,,,
846,,DRAFT,Teuva,Östermark,Teuva,,,,,,,,,
848,,DRAFT,Tohmajärvi,Tohmajärvi,Tohmajärvi,,,,,,,,,
849,,DRAFT,Toholampi,Toholampi,Toholampi,,,,,,,,,
850,,DRAFT,Toivakka,Toivakka,Toivakka,,,,,,,,,
851,,DRAFT,Tornio,Torneå,Tornio,,,,,,,,,
853,,DRAFT,Turku,Åbo,Turku,,,,,,,,,
854,,DRAFT,Pello,Pello,Pello,,,,,,,,,
857,,DRAFT,Tuusniemi,Tuusniemi,Tuusniemi,,,,,,,,,
858,,DRAFT,Tuusula,Tusby,Tuusula,,,,,,,,,
859,,DRAFT,Tyrnävä,Tyrnävä,Tyrnävä,,,,,,,,,
886,,DRAFT,Ulvila,Ulvsby,Ulvila,,,,,,,,,
887,,DRAFT,Urjala,Urjala,Urjala,,,,,,,,,
889,,DRAFT,Utajärvi,Utajärvi,Utajärvi,,,,,,,,,
890,,DRAFT,Utsjoki,Utsjoki,Utsjoki,,,,,,,,,
892,,DRAFT,Uurainen,Uurainen,Uurainen,,,,,,,,,
893,,DRAFT,Uusikaarlepyy,Nykarleby,Nykarleby,,,,,,,,,
895,,DRAFT,Uusikaupunki,Nystad,Uusikaupunki,,,,,,,,,
905,,DRAFT,Vaasa,Vasa,Vaasa,,,,,,,,,
908,,DRAFT,Valkeakoski,Valkeakoski,Valkeakoski,,,,,,,,,
911,,DRAFT,Valtimo,Valtimo,Valtimo,,,,,,,,,
915,,DRAFT,Varkaus,Varkaus,Varkaus,,,,,,,,,
918,,DRAFT,Vehmaa,Vehmaa,Vehmaa,,,,,,,,,
921,,DRAFT,Vesanto,Vesanto,Vesanto,,,,,,,,,
922,,DRAFT,Vesilahti,Vesilahti,Vesilahti,,,,,,,,,
924,,DRAFT,Veteli,Vetil,Veteli,,,,,,,,,
925,,DRAFT,Vieremä,Vieremä,Vieremä,,,,,,,,,
927,,DRAFT,Vihti,Vichtis,Vihti,,,,,,,,,
931,,DRAFT,Viitasaari,Viitasaari,Viitasaari,,,,,,,,,
934,,DRAFT,Vimpeli,Vimpeli,Vimpeli,,,,,,,,,
935,,DRAFT,Virolahti,Virolahti,Virolahti,,,,,,,,,
936,,DRAFT,Virrat,Virdois,Virrat,,,,,,,,,
941,,DRAFT,Vårdö,Vårdö,Vårdö,,,,,,,,,
946,,DRAFT,Vöyri,Vörå,Vörå,,,,,,,,,
976,,DRAFT,Ylitornio,Övertorneå,Ylitornio,,,,,,,,,
977,,DRAFT,Ylivieska,Ylivieska,Ylivieska,,,,,,,,,
980,,DRAFT,Ylöjärvi,Ylöjärvi,Ylöjärvi,,,,,,,,,
981,,DRAFT,Ypäjä,Ypäjä,Ypäjä,,,,,,,,,
989,,DRAFT,Ähtäri,Etseri,Ähtäri,,,,,,,,,
992,,DRAFT,Äänekoski,Äänekoski,Äänekoski,,,,,,,,,
200,,DRAFT,Ulkomaa ja tuntematon,Utlandet och okänd,Foreign or unknown,,,,,,,,,
