CODEVALUE,ID,STATUS,HIERARCHYLEVEL,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,DEFINITION_FI,DEFINITION_SV,DEFINITION_EN,DESCRIPTION_FI,DESCRIPTION_SV,DESCRIPTION_EN,SHORTNAME,STARTDATE,ENDDATE
smj,,INVALID,,Lule Sami,luulajansaame,,,,,,,,,,
smn,,INVALID,,Inari Sami,inarinsaame,,,,,,,,,,
sms,,INVALID,,Skolt Sami,koltansaame,,,,,,,,,,
sn,,INVALID,,Shona,šona,,,,,,,,,,
snk,,INVALID,,Soninke,soninke,,,,,,,,,,
so,,INVALID,,Somali,somali,,,,,,,,,,
sog,,INVALID,,Sogdien,sogdi,,,,,,,,,,
sq,,INVALID,,Albanian,albania,,,,,,,,,,
sr,,INVALID,,Serbian,serbia,,,,,,,,,,
srn,,INVALID,,Sranan Tongo,sranan,,,,,,,,,,
srr,,INVALID,,Serer,serer,,,,,,,,,,
ss,,INVALID,,Swati,swazi,,,,,,,,,,
ssy,,INVALID,,Saho,saho,,,,,,,,,,
st,,INVALID,,Southern Sotho,eteläsotho,,,,,,,,,,
stq,,INVALID,,Saterland Frisian,saterlandinfriisi,,,,,,,,,,
su,,INVALID,,Sundanese,sunda,,,,,,,,,,
suk,,INVALID,,Sukuma,sukuma,,,,,,,,,,
sus,,INVALID,,Susu,susu,,,,,,,,,,
sux,,INVALID,,Sumerian,sumeri,,,,,,,,,,
sv,,INVALID,,Swedish,ruotsi,,,,,,,,,,
sw,,INVALID,,Swahili,swahili,,,,,,,,,,
sw_CD,,INVALID,,Congo Swahili,kingwana,,,,,,,,,,
swb,,INVALID,,Comorian,komori,,,,,,,,,,
syc,,INVALID,,Classical Syriac,muinaissyyria,,,,,,,,,,
syr,,INVALID,,Syriac,syyria,,,,,,,,,,
szl,,INVALID,,Silesian,sleesia,,,,,,,,,,
ta,,INVALID,,Tamil,tamili,,,,,,,,,,
tcy,,INVALID,,Tulu,tulu,,,,,,,,,,
te,,INVALID,,Telugu,telugu,,,,,,,,,,
tem,,INVALID,,Timne,temne,,,,,,,,,,
teo,,INVALID,,Teso,teso,,,,,,,,,,
ter,,INVALID,,Tereno,tereno,,,,,,,,,,
tet,,INVALID,,Tetum,tetum,,,,,,,,,,
tg,,INVALID,,Tajik,tadžikki,,,,,,,,,,
th,,INVALID,,Thai,thai,,,,,,,,,,
ti,,INVALID,,Tigrinya,tigrinja,,,,,,,,,,
tig,,INVALID,,Tigre,tigre,,,,,,,,,,
tiv,,INVALID,,Tiv,tiv,,,,,,,,,,
tk,,INVALID,,Turkmen,turkmeeni,,,,,,,,,,
tkl,,INVALID,,Tokelau,tokelau,,,,,,,,,,
tkr,,INVALID,,Tsakhur,tsahuri,,,,,,,,,,
tl,,INVALID,,Tagalog,tagalog,,,,,,,,,,
tlh,,INVALID,,Klingon,klingon,,,,,,,,,,
tli,,INVALID,,Tlingit,tlingit,,,,,,,,,,
tly,,INVALID,,Talysh,tališi,,,,,,,,,,
tmh,,INVALID,,Tamashek,tamašek,,,,,,,,,,
tn,,INVALID,,Tswana,tswana,,,,,,,,,,
to,,INVALID,,Tongan,tonga,,,,,,,,,,
tog,,INVALID,,Nyasa Tonga,malawintonga,,,,,,,,,,
tpi,,INVALID,,Tok Pisin,tok-pisin,,,,,,,,,,
tr,,INVALID,,Turkish,turkki,,,,,,,,,,
tru,,INVALID,,Turoyo,turojo,,,,,,,,,,
trv,,INVALID,,Taroko,taroko,,,,,,,,,,
