CODEVALUE,ID,STATUS,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,SHORTNAME,HIERARCHYLEVEL,STARTDATE,ENDDATE
084,c6c67457-f734-49a9-a61b-c0288ed2a367,VALID,Eläinlääketiede,Veterinärmedicin,Veterinary,,,2016-01-01,
0841,7a737de7-f268-4b57-af04-8bb039548643,VALID,Eläinlääketiede,Veterinärmedicin,Veterinary,,,2016-01-01,
09,7ab04d07-c275-4e7d-9d3f-8efcf4d377a0,VALID,Terveys- ja hyvinvointialat,Hälsovård och välfärd,Health and welfare,,,2016-01-01,
090,4078a054-2148-4576-ac13-4fc314cafd7e,VALID,"Terveys- ja hyvinvointialat, yleiset koulutusohjelmat","Hälsovård och välfärd, allmänna utbildningsprogram",Broad programmes and qualifications involving health and welfare,,,2016-01-01,
0900,e03ca433-5c61-4567-9598-5971199aff86,VALID,"Terveys- ja hyvinvointi, yleiset koulutusohjelmat",Veterinärmedicin,Broad programmes and qualifications involving health and welfare,,,2016-01-01,
091,5d10c629-cfda-4b34-9332-702719a6c992,VALID,Terveys,Hälsovård,Health,,,2016-01-01,
0911,85b6447d-d3d8-4c67-9ac8-459dacfd0cc2,VALID,Suun terveydenhuolto,Tandvård,Dental studies,,,2016-01-01,
0912,74a87fa5-16fb-43f0-9fea-f22b20e05792,VALID,Lääketiede,Medicin,Medicine,,,2016-01-01,
0913,e6cf31f0-bba1-4055-80e6-4eddfcf81954,VALID,Hoitotyö,Omvårdnad,Nursing and midwifery,,,2016-01-01,
0914,9d709065-2eaa-4357-ada0-49f4e2150f45,VALID,"Terveystekniikka, kuvantaminen ja bioanalytiikka","Hälsoteknik, diagnostisk avbildning och bioanalys",Medical diagnostic and treatment technology,,,2016-01-01,
0915,8b7d1de3-d73d-4d27-8f4b-7b03785330d5,VALID,Kuntoutus,Rehabilitering,Therapy and rehabilitation,,,2016-01-01,
0916,e5362836-3b1d-4a05-b2d2-a62575d4c476,VALID,Farmasia,Farmaci,Pharmacy,,,2016-01-01,
0918,a3c4e31e-2779-4a86-bd1d-2d83287c0702,VALID,"Terveys, monialaiset koulutusohjelmat","Hälsovård, branschövergripande utbildningsprogram",Inter-disciplinary programmes and qualifications involving health,,,2016-01-01,
092,070c034f-1a33-4ab0-922a-0ae3f0e85fdf,VALID,Hyvinvointi,Välfärd,Welfare,,,2016-01-01,
0920,099c4055-5adc-433b-8f98-af9aa05eee21,VALID,"Hyvinvointi, yleiset koulutusohjelmat","Välfärd, allmänna utbildningsprogram",Broad programmes and qualifications involving welfare,,,2016-01-01,
0921,0dc091a6-5096-4a73-ba45-9fbbf038ec56,VALID,Vanhus- ja vammaistyö,Åldrings- och handikapparbete,Care of the elderly and of disabled adults,,,2016-01-01,
0922,9cb8c499-057d-4335-b8fb-bed55fdf99d7,VALID,Lastenhoito ja nuorisotyö,Barnomsorg och ungdomsarbete,Child care and youth services,,,2016-01-01,
0923,e7e7f79b-e5cf-48c7-b350-0b4b8228bb77,VALID,Sosiaalityö ja -ohjaus,Socialt arbete och vägledning,Social work and counselling,,,2016-01-01,
0928,d70d2aa3-afbd-4ef9-b45d-fa4370d0de0b,VALID,"Hyvinvointi, monialaiset koulutusohjelmat","Välfärd, branschövergripande utbildningsprogram",Inter-disciplinary programmes and qualifications involving welfare,,,2016-01-01,
10,14361c28-0c2f-4be8-9d8d-0f79fbafea43,VALID,Palvelualat,Tjänstebranschen,Services,,,2016-01-01,
100,8c5ce5b8-65f6-476f-a9e3-3825504b2ca2,VALID,"Palvelualat, yleiset koulutusohjelmat","Tjänstebranschen, allmänna utbildningsprogram",Broad programmes and qualifications involving services,,,2016-01-01,
1000,714a73f3-3e0e-438a-83c3-44a962c4bddf,VALID,"Palvelualat, yleiset koulutusohjelmat","Tjänstebranschen, allmänna utbildningsprogram",Broad programmes and qualifications involving services,,,2016-01-01,
101,fe0dc6c2-cf53-45ed-8ea5-e029ac5d4261,VALID,Henkilökohtaiset palvelut,Personliga tjänster,Personal services,,,2016-01-01,
