CODEVALUE,ID,STATUS,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,DEFINITION_FI,DEFINITION_SV,DEFINITION_EN,DESCRIPTION_FI,DESCRIPTION_SV,DESCRIPTION_EN,SHORTNAME,STARTDATE,ENDDATE
quc,,VALID,Kʼicheʼ,kʼicheʼ,,,,,,,,,,
qug,,VALID,Chimborazo Highland Quichua,chimborazonylänköketšua,,,,,,,,,,
raj,,VALID,Rajasthani,radžastani,,,,,,,,,,
rap,,VALID,Rapanui,rapanui,,,,,,,,,,
rar,,VALID,Rarotongan,rarotonga,,,,,,,,,,
rgn,,VALID,Romagnol,romagnoli,,,,,,,,,,
rif,,VALID,Riffian,tarifit,,,,,,,,,,
rm,,VALID,Romansh,retoromaani,,,,,,,,,,
rn,,VALID,Rundi,rundi,,,,,,,,,,
ro,,VALID,Romanian,romania,,,,,,,,,,
ro_MD,,VALID,Moldavian,moldova,,,,,,,,,,
rof,,VALID,Rombo,rombo,,,,,,,,,,
rom,,VALID,Romany,romani,,,,,,,,,,
root,,VALID,Root,juuri,,,,,,,,,,
rtm,,VALID,Rotuman,rotuma,,,,,,,,,,
ru,,VALID,Russian,venäjä,,,,,,,,,,
rue,,VALID,Rusyn,ruteeni,,,,,,,,,,
rug,,VALID,Roviana,roviana,,,,,,,,,,
rup,,VALID,Aromanian,aromania,,,,,,,,,,
rw,,VALID,Kinyarwanda,ruanda,,,,,,,,,,
rwk,,VALID,Rwa,rwa,,,,,,,,,,
sa,,VALID,Sanskrit,sanskrit,,,,,,,,,,
sad,,VALID,Sandawe,sandawe,,,,,,,,,,
sah,,VALID,Sakha,jakuutti,,,,,,,,,,
sam,,VALID,Samaritan Aramaic,samarianaramea,,,,,,,,,,
saq,,VALID,Samburu,samburu,,,,,,,,,,
sas,,VALID,Sasak,sasak,,,,,,,,,,
sat,,VALID,Santali,santali,,,,,,,,,,
saz,,VALID,Saurashtra,sauraštri,,,,,,,,,,
sba,,VALID,Ngambay,ngambay,,,,,,,,,,
sbp,,VALID,Sangu,sangu,,,,,,,,,,
sc,,VALID,Sardinian,sardi,,,,,,,,,,
scn,,VALID,Sicilian,sisilia,,,,,,,,,,
sco,,VALID,Scots,skotti,,,,,,,,,,
sd,,VALID,Sindhi,sindhi,,,,,,,,,,
sdc,,VALID,Sassarese Sardinian,sassarinsardi,,,,,,,,,,
sdh,,VALID,Southern Kurdish,eteläkurdi,,,,,,,,,,
se,,VALID,Northern Sami,pohjoissaame,,,,,,,,,,
see,,VALID,Seneca,seneca,,,,,,,,,,
seh,,VALID,Sena,sena,,,,,,,,,,
sei,,VALID,Seri,seri,,,,,,,,,,
